cdmTableName,schema,isRequired,conceptPrefix,measurePersonCompleteness,measurePersonCompletenessThreshold,validation,tableDescription,userGuidance,etlConventions
concept,VOCAB,No,NA,No,NA,NA,"Standardized Vocabularies는 CDM의 모든 도메인 테이블에서 임상 정보를 표현하는 데 사용되는 의미의 각 기본 단위를 고유하게 식별하는 레코드, 즉 Concept를 포함한다. Concept는 코드와 관련 설명을 사용하여 도메인 전반의 임상 정보(예: condition, drug, procedure)를 표현하는 vocabulary로부터 파생된다. 일부 Concept는 Standard Concept로 지정되는데, 이는 해당 Concept가 OMOP Common Data Model 및 표준화된 분석 내에서 임상 개체의 규범적 표현으로 사용될 수 있음을 의미한다. 각 Standard Concept는 하나의 Domain에 속하며, 이 Domain은 해당 Concept가 CDM의 데이터 테이블 내에서 나타날 것으로 예상되는 위치를 정의한다. Concept는 광범위한 범주('심혈관 질환'), 상세한 임상 요소('전측벽 심근경색'), 또는 다양한 수준의 세부사항으로 Concept를 정의하는 수식 특성 및 속성(질병의 중증도, 관련 형태학 등)을 나타낼 수 있다. Standardized Vocabularies 테이블의 레코드는 SNOMED-CT, RxNorm, LOINC와 같은 국가 또는 국제 vocabulary에서 파생되거나, 관찰 데이터 분석의 다양한 측면을 다루기 위해 정의된 맞춤형 OMOP Concept에서 파생된다.
","The primary purpose of the CONCEPT table is to provide a standardized representation of medical Concepts, allowing for consistent querying and analysis across the healthcare databases.
Users can join the CONCEPT table with other tables in the CDM to enrich clinical data with standardized Concept information or use the CONCEPT table as a reference for mapping clinical data from source terminologies to Standard Concepts.",NA
vocabulary,VOCAB,No,NA,No,NA,NA,"VOCABULARY 테이블은 다양한 소스로부터 통합되거나 OMOP CDM에서 새롭게 생성된 Vocabulary의 목록을 포함한다. 이 참조 테이블은 각 Vocabulary에 대해 단일 레코드를 포함하며, Vocabulary에 대한 설명적 이름과 기타 관련 속성을 포함한다.","The primary purpose of the VOCABULARY table is to provide explicit information about specific vocabulary versions and the references to the sources from which they are asserted. Users can identify the version of a particular vocabulary used in the database, enabling consistency and reproducibility in data analysis. Besides, users can check the vocabulary release version in their CDM which refers to the vocabulary_id = 'None'.",NA
domain,VOCAB,No,NA,No,NA,NA,"DOMAIN 테이블은 Standardized Vocabularies의 Concept가 속할 수 있는 OMOP 정의 Domain의 목록을 포함한다. Domain은 CDM 테이블의 표준화된 필드에 일치하는 Concept를 할당하기 위한 임상적 정의를 나타낸다. 예를 들어, Condition Domain은 환자의 condition을 설명하는 Concept를 포함하며, 이러한 Concept는 CONDITION_OCCURRENCE 및 CONDITION_ERA 테이블의 condition_concept_id 필드에서만 사용할 수 있다. 이 참조 테이블은 각 Domain에 대해 단일 레코드로 채워지며, Domain ID와 모든 Domain에 대한 설명적 이름을 포함한다.","Users can leverage the DOMAIN table to explore the full spectrum of health-related data Domains available in the Standardized Vocabularies. Also, the information in the DOMAIN table may be used as a reference for mapping source data to OMOP domains, facilitating data harmonization and interoperability.",NA
concept_class,VOCAB,No,NA,No,NA,NA,"CONCEPT_CLASS 테이블은 각 Vocabulary의 소스 구조를 참조하는 의미적 범주를 포함한다. Concept Class는 vocabulary 구조의 이른바 수평적(예: MedDRA, RxNorm) 또는 수직적 수준(예: SNOMED)을 나타낸다. HCPCS와 같이 Concept Class가 없는 vocabulary는 vocabulary_id를 Concept Class로 사용한다. 이 참조 테이블은 각 Concept Class에 대해 단일 레코드로 채워지며, Concept Class ID와 완전히 명시된 Concept Class 이름을 포함한다.
",Users can utilize the CONCEPT_CLASS table to explore the different classes or categories of concepts within the OHDSI vocabularies.,NA
concept_relationship,VOCAB,No,NA,No,NA,NA,"CONCEPT_RELATIONSHIP 테이블은 임의의 두 Concept 사이의 관계와 그 관계의 성격 또는 유형을 정의하는 레코드를 포함한다. 이 테이블은 계층적, 연관적, 기타 의미적 연결을 포함한 다양한 유형의 관계를 담아내어, 임상 개념의 포괄적인 분석과 해석을 가능하게 한다. 모든 종류의 관계는 RELATIONSHIP 테이블에 정의되어 있다.","The CONCEPT_RELATIONSHIP table can be used to explore hierarchical or attribute relationships between concepts to understand the hierarchical structure of clinical concepts and uncover implicit connections and associations within healthcare data. For example, users can utilize mapping relationships ('Maps to') to harmonize data from different sources and terminologies, enabling interoperability and data integration across disparate datasets.",NA
relationship,VOCAB,No,NA,No,NA,NA,RELATIONSHIP 테이블은 CONCEPT_RELATIONSHP 테이블에서 임의의 두 concept를 연관시키는 데 사용할 수 있는 모든 유형의 관계에 대한 참조 목록을 제공한다.,NA,NA
concept_synonym,VOCAB,No,NA,No,NA,NA,CONCEPT_SYNONYM 테이블은 Concept에 대한 대체 이름과 설명을 저장하는 데 사용된다.,NA,NA
concept_ancestor,VOCAB,No,NA,No,NA,NA,"CONCEPT_ANCESTOR 테이블은 Concept 간의 완전한 계층적 관계를 제공하여 관찰 분석을 단순화하도록 설계되었다. CONCEPT_RELATIONSHIP 테이블에는 Concept 간의 직접적인 부모-자식 관계만 저장된다. 더 높은 수준의 조상 연결을 확인하려면 분석 시점에 모든 개별 직접 관계를 탐색해야 한다. CONCEPT_ANCESTOR 테이블은 모든 부모-자식 관계뿐만 아니라 조부모-손자 관계와 그 외 모든 수준의 계보 관계에 대한 레코드를 포함한다. CONCEPT_ANCESTOR 테이블을 사용하면 계층적 concept의 모든 후손을 쿼리할 수 있다. 예를 들어, drug 성분과 drug 제품은 모두 drug class 조상의 후손이다.

이 테이블은 전적으로 CONCEPT, CONCEPT_RELATIONSHIP 및 RELATIONSHIP 테이블로부터 파생된다.",NA,NA
source_to_concept_map,VOCAB,No,NA,No,NA,NA,"source to concept map 테이블은 OMOP Common Data Model 내의 레거시 데이터 구조로, Standardized Vocabularies에 Concept로 제공되지 않는 로컬 소스 코드를 유지하고, 각 소스 코드를 Common Data Model 테이블을 채우는 데 사용할 수 있는 target_concept_ids로서 Standard Concept에 매핑하기 위해 ETL 프로세스에서 사용하도록 권장된다. SOURCE_TO_CONCEPT_MAP 테이블은 OMOP 커뮤니티에 게시되는 Standardized Vocabularies 내에서 더 이상 콘텐츠로 채워지지 않는다.",NA,NA
drug_strength,VOCAB,No,NA,No,NA,NA,DRUG_STRENGTH 테이블은 특정 drug 제품에 포함된 특정 성분의 양 또는 농도와 관련 단위에 관한 구조화된 콘텐츠를 포함한다. 이 테이블은 drug 사용에 대한 표준화된 분석을 지원하기 위한 보충 정보이다.,NA,NA
cohort_definition,VOCAB,No,NA,No,NA,NA,"COHORT_DEFINITION 테이블은 관련 설명과 구문을 통해 데이터로부터 파생되고 인스턴스화(알고리즘 실행) 시 COHORT 테이블에 저장되는 Cohort를 정의하는 레코드를 포함한다. Cohort는 일정 기간 동안 주어진 포함 기준 조합을 충족하는 대상자들의 집합이다. COHORT_DEFINITION 테이블은 대상자를 코호트에 포함시키는 것을 관장하는 규칙을 유지하기 위한 표준화된 구조를 제공하며, OMOP Common Data Model 내에서 코호트를 인스턴스화하기 위한 운영 프로그래밍 코드를 저장할 수 있다.",NA,NA
attribute_definition,VOCAB,No,NA,No,NA,NA,"ATTRIBUTE_DEFINITION 테이블은 관련 설명과 구문을 통해 각 속성을 정의하는 레코드를 포함한다. 속성은 코호트 내 대상자에 대해 선택하거나 계산할 수 있는 파생 요소이다. ATTRIBUTE_DEFINITION 테이블은 코호트 내 대상자에 대한 공변량 계산을 관장하는 규칙을 유지하기 위한 표준화된 구조를 제공하며, OMOP Common Data Model 내에서 주어진 코호트에 대한 속성을 인스턴스화하기 위한 운영 프로그래밍 코드를 저장할 수 있다.",NA,NA
